TR EN ES Dreaming Complete (testing github)

soñando - rüya görmek - dreaming, no hint
segundo - ikinci - second, no hint
sensación - duygu - feeling, no hint
miedo - korku - fear, no hint
cualquier cosa - herhangi bir şey - anything, no hint
fin - son - end, no hint
haciendo - yapmak - doing, no hint
encima - yukarıda - above, no hint
las manos - eller - hands, no hint
todo - herşey - everything, no hint
aunque - rağmen - though, no hint
último - son - last, no hint
lado - yan - side, no hint
guía - kılavuz - guide, no hint
control - kontrol - control, no hint
mejor - daha iyi - better, no hint
simplemente - basitçe - simply, no hint
casi - neredeyse - almost, no hint
mejor - en iyi - best, no hint
visto - görüldü - seen, no hint
proceso - süreç - process, no hint
dormido - uykuda - asleep, no hint
aprender - öğrenmek - learn, no hint
convertido - döndü - turned, no hint
conocimiento - bilgi - knowledge, no hint
nivel - seviye - level, no hint
debajo - altında - under, no hint
naturaleza - doğa - nature, no hint
a lo largo de - boyunca - along, no hint
pensamientos - düşünceler - thoughts, no hint
contar - söylemek - tell, no hint
suficiente - yeter - enough, no hint
dar - vermek - give, no hint
caso - durum - case, no hint
mantener - Tut - keep, no hint
Realmente - aslında - actually, no hint
poner - Cult image - put, no hint
espíritu - ruh - spirit, no hint
pies - ayak - feet, no hint
amor - Aşk - love, no hint
deberá - acak - shall, no hint
soñador - hayalperest - dreamer, no hint
cierto - doğru - true, no hint
parecer - görünmek - seem, no hint
sí mismo - kendisi - itself, no hint
atención - Dikkat - attention, no hint
parece - görünüyor - seems, no hint
profundo - derin - deep, no hint
agua - Su - water, no hint
pregunta - soru - question, no hint
varios - birkaç - several, no hint
alto - yüksek - high, no hint
siempre - hiç - ever, no hint
completo - full - full, no hint
método - yöntem - method, no hint
pronto - yakında - soon, no hint
ya que - dan beri - since, no hint
mirando - bakmak - looking, no hint
molesto - denemek - trying, no hint
pero - fakat - men, no hint
preguntó - diye sordu - asked, no hint
dicho - söyledi - told, no hint
energía - güç - power, no hint
espacio - Uzay - space, no hint
casa - ev - house, no hint
utilizando - kullanma - using, no hint
pequeño - küçük - small, no hint
generalmente - genelde - usually, no hint
aire - hava - air, no hint
mayor - daha yüksek - higher, no hint
difícil - zor - hard, no hint
hecho - bitti - done, no hint
tiene - var - got, no hint
similar - benzer - similar, no hint
despierto - uyanık - awake, no hint
vivo - yaşam - living, no hint
tipo - tür - kind, no hint
a veces - ara sıra - sometimes, no hint
claro - açık - clear, no hint
afuera - dışarıda - outside, no hint
entender - anlama - understand, no hint
dias - günler - days, no hint
en lugar de - yerine - instead, no hint
orden - sipariş - order, no hint
regreso - dönüş - return, no hint
abierto - açık - open, no hint
menos - Daha az - less, no hint
completamente - tamamen - completely, no hint
comienzo - Başlat - start, no hint
seguro - Elbette - sure, no hint
sabía - biliyordu - knew, no hint
información - bilgi - information, no hint
viaje - seyahat - travel, no hint
leer - okumak - read, no hint
conjunto - Ayarlamak - set, no hint
interior - iç - inner, no hint
llamada - telefon etmek - call, no hint
conocido - bilinen - known, no hint
atención - odak - focus, no hint
tomó - aldı - took, no hint
mujer - Kadın - woman, no hint
hogar - ev - home, no hint
por lo tanto - Böylece - thus, no hint
idea - fikir - idea, no hint
cara - yüz - face, no hint
separar - Bölünmüş - split, no hint
porque - sebep olmak - cause, no hint
por - tarafından - door, no hint
Dios - Tanrı - god, no hint
acción - aksiyon - action, no hint
largo - uzun - lama, no hint
condición - şart - condition, no hint
empezado - başladı - started, no hint
detrás - arkasında - behind, no hint
adentro - içeride - inside, no hint
repentinamente - aniden - suddenly, no hint
normal - normal - normal, no hint
ya - zaten - already, no hint
extraño - garip - strange, no hint
cuatro - dört - four, no hint
natural - doğal - natural, no hint
libros - kitabın - books, no hint
aunque - olmasına rağmen - although, no hint
en efecto - aslında - indeed, no hint
personal - kişiye özel - personal, no hint
razón - sebep - reason, no hint
más bien - daha doğrusu - rather, no hint
palabras - kelimeler - words, no hint
posición - durum - position, no hint
pensando - düşünme - thinking, no hint
experimentado - Tecrübeli - experienced, no hint
ojo - göz - eye, no hint
capítulo - bölüm - chapter, no hint
memoria - hafıza - memory, no hint
fuerte - kuvvetli - strong, no hint
sonido - ses - sound, no hint
se convirtió - oldu - became, no hint
pasado - geçmiş - past, no hint
siguiendo - takip etme - following, no hint
tipo - tip - type, no hint
capacidad - kabiliyet - ability, no hint
juntos - birlikte - together, no hint
número - numara - number, no hint
efecto - etki - effect, no hint
cambio - değişiklik - change, no hint
Moviente - hareketli - moving, no hint
visión - vizyon - vision, no hint
problema - job - problem, no hint
intentó - denenmiş - tried, no hint
alma - ruh - soul, no hint
Actuar - davranmak - act, no hint
esfuerzo - çaba - effort, no hint
material - malzeme - material, no hint
consiguiendo - alma - getting, no hint
despertarse - uyanmak - wake, no hint
movimiento - hareket - movement, no hint
volador - uçan - flying, no hint
En Vivo - canlı - live, no hint
soñadores - hayalperestler - dreamers, no hint
resultado - sonuç - result, no hint
en contra - karşısında - against, no hint
sensación - duygu - sensation, no hint
Mañana - sabah - morning, no hint
etapa - sahne - stage, no hint
especialmente - özellikle - especially, no hint
ciudad - Kent - city, no hint
tomado - alınmış - taken, no hint
especial - belirli - particular, no hint
ejercicio - egzersiz yapmak - exercise, no hint
imagina - hayal etmek - imagine, no hint
Aparecer - görünmek - appear, no hint
pedir - Sor - ask, no hint
alguien - birisi - someone, no hint
menos - en az - least, no hint
individual - bireysel - individual, no hint
haciendo - yapımı - making, no hint
viaje - seyahat - journey, no hint
se convierte en - olur - becomes, no hint
sencillo - basit - simple, no hint
proviene - gelir - comes, no hint
no - değil - non, no hint
completamente - tamamen - fully, no hint
cuerpos - bedenler - bodies, no hint
más lejos - Daha ileri - further, no hint
difícil - zor - difficult, no hint
más extenso - uzun - longer, no hint
sensaciones - duyumlar - sensations, no hint
viniendo - geliyor - coming, no hint
joven - genç - young, no hint
cinco - beş - five, no hint
temprano - erken - early, no hint
varios - çeşitli - various, no hint
amigo - arkadaş - friend, no hint
más - Başka - else, no hint
otoño - sonbahar - fall, no hint
lo que sea - her neyse - whatever, no hint
intento - girişim - attempt, no hint
cualquiera - ya - either, no hint
lote - çok - lot, no hint
existencia - varoluş - existence, no hint
él mismo - kendisi - himself, no hint
salir - ayrılmak - leave, no hint
ingresar - giriş - enter, no hint
resultados - Sonuçlar - results, no hint
cerrar - kapat - close, no hint
empezó - başladı - began, no hint
grande - büyük - large, no hint
ver - görünüm - view, no hint
empezar - başla - begin, no hint
a través de - karşısında - across, no hint
inmediatamente - hemen - immediately, no hint
doble - çift - double, no hint
giro - dönüş - turn, no hint
que cae - düşme - falling, no hint
corazón - kalp - heart, no hint
minutos - dakika - minutes, no hint
si - olup olmadığı - whether, no hint
despacio - yavaşça - slowly, no hint
sostener - ambar - hold, no hint
voz - ses - voice, no hint
si - Evet - yes, no hint
frente - ön - front, no hint
pared - duvar - wall, no hint
objeto - nesne - object, no hint
deseo - arzu etmek - desire, no hint
visión - görme - sight, no hint
facultativo - uygulayıcı - practitioner, no hint
trance - trans - trance, no hint
proyectado - öngörülen - projected, no hint
centrar - merkez - center, no hint
autor - yazar - author, no hint
seguir - takip et - follow, no hint
historia - Tarih - history, no hint
recordar - hatırlama - recall, no hint
despertar - uyanış - awakening, no hint
gato - kedi - cat, no hint
suelo - zemin - ground, no hint
problemas - sorunlar - problems, no hint
recuerdos - anılar - memories, no hint
futuro - gelecek - future, no hint
eventos - Etkinlikler - events, no hint
universo - Evren - universe, no hint
palabra - kelime - word, no hint
vive - hayatları - lives, no hint
viendo - görme - seeing, no hint
estados - eyaletler - states, no hint
probable - muhtemelen - likely, no hint
completar - tamamlayınız - complete, no hint
medio - yarım - half, no hint
horas - saatler - hours, no hint
actividad - aktivite - activity, no hint
formas - yollar - ways, no hint
comida - Gıda - food, no hint
estudiar - ders çalışma - study, no hint
formas - formlar - forms, no hint
camino - yol - path, no hint
tomando - alma - taking, no hint
fácilmente - kolayca - easily, no hint
show - göstermek - show, no hint
por lo tanto - bu nedenle - therefore, no hint
Seguir - devam et - continue, no hint
comprensión - anlayış - understanding, no hint
creencia - inanç - belief, no hint
ocurrir - meydana gelmek - occur, no hint
suceder - olmak - happen, no hint
preguntas - sorular - questions, no hint
ambiente - çevre - environment, no hint
proyecto - proje - project, no hint
sí mismos - kendilerini - themselves, no hint
responder - Cevap - answer, no hint
nombre - isim - name, no hint
investigación - Araştırma - research, no hint
seres - Varlıklar - beings, no hint
común - Yaygın - common, no hint
escribir - yazmak - write, no hint
crear - oluşturmak - create, no hint
querido - aranan - wanted, no hint
paso - adım - step, no hint
negocio - iş - rem, no hint
muerto - ölü - dead, no hint
movido - taşındı - moved, no hint
Escuchó - Duymak - heard, no hint
corto - kısa - short, no hint
yoga - yoga - yoga, no hint
traer - getirmek - bring, no hint
gratis - Bedava - free, no hint
toma - alır - takes, no hint
aprendizaje - öğrenme - learning, no hint
fuerza - güç - force, no hint
grande - büyük - big, no hint
fácil - kolay - easy, no hint
cerca - yakın - near, no hint
tierra - arazi - land, no hint
imagenes - Görüntüler - images, no hint
imagen - görüntü - image, no hint
Salida - çıkış - exit, no hint
vibraciones - titreşimler - vibrations, no hint
directo - direkt - direct, no hint
con rapidez - hızlı bir şekilde - quickly, no hint
pierda - Özlemek - miss, no hint
oscuro - karanlık - dark, no hint
madre - anne - mother, no hint
inconsciente - bilinçsiz - unconscious, no hint
necesario - gerekli - necessary, no hint
descanso - dinlenme - rest, no hint
subconsciente - bilinçaltı - subconscious, no hint
permanecer - kalmak - stay, no hint
sucedió - olmuş - happened, no hint
objetos - nesneler - objects, no hint
blanco - beyaz - white, no hint
oír - duymak - hear, no hint
darse cuenta - farkına varmak - realize, no hint
energético - enerjik - energetic, no hint
dolor - Ağrı - pain, no hint
planes - planlar - planes, no hint
Sab - sat - sat, no hint
incluso - dahil olmak üzere - including, no hint
mesa - masa - table, no hint
verde - yeşil - green, no hint
parálisis - felç - paralysis, no hint
diario - günlük - journal, no hint
familiar - tanıdık - familiar, no hint
comportamiento - hareketler - actions, no hint
cerrado - kapalı - closed, no hint
deseo - dilek - wish, no hint
Sentidos - duyular - senses, no hint
existe - var olmak - exist, no hint
perdió - kayıp - lost, no hint
trabajando - Çalışma - working, no hint
en todo - boyunca - throughout, no hint
término - dönem - term, no hint
reino - Diyar - realm, no hint
imagen - resim - picture, no hint
superficie - yüzey - surface, no hint
todo - tüm - entire, no hint
dormido - uyuyor - sleeping, no hint
año - yıl - year, no hint
período - dönem - period, no hint
seis - altı - six, no hint
acuerdo - anlaştık mı - deal, no hint
Nota - Not - note, no hint
humanos - insanlar - humans, no hint
básico - temel - basic, no hint
campo - alan - field, no hint
verdad - hakikat - truth, no hint
encontrarse - buluşmak - meet, no hint
sentido - anlam - meaning, no hint
distancia - mesafe - distance, no hint
considerar - düşünmek - consider, no hint
interesante - ilginç - interesting, no hint
ni - ne de - nor, no hint
situación - durum - situation, no hint
comenzando - başlangıç - beginning, no hint
permanecer - kalmak - remain, no hint
imaginación - hayal gücü - imagination, no hint
hacia - doğru - towards, no hint
respiración - nefes - breath, no hint
directamente - direkt olarak - directly, no hint
sonidos - sesler - sounds, no hint
exactamente - kesinlikle - exactly, no hint
años - yaş - age, no hint
finalmente - Sonuçta - eventually, no hint
niño - oğlan - boy, no hint
decidido - karar - decided, no hint
nadie - kimse - anyone, no hint
hace - yapar - makes, no hint
general - genel - general, no hint
leyendo - okuma - reading, no hint
desarrollo - gelişme - development, no hint
trabajos - İşler - works, no hint
entre - arasında - among, no hint
ideas - fikirler - ideas, no hint
hace - önce - ago, no hint
volar - uçmak - fly, no hint
niños - çocuklar - children, no hint
interesar - faiz - interest, no hint
aparece - belirir - appears, no hint
presencia - mevcudiyet - presence, no hint
Maestro - usta - master, no hint
todos - herkes - everyone, no hint
padre - baba - father, no hint
solo - tek başına - alone, no hint
mujer - KADIN - women, no hint
convirtiéndose - olma - becoming, no hint
casos - vakalar - cases, no hint
equivocado - yanlış - wrong, no hint
simplemente - sadece - merely, no hint
en pie - ayakta - standing, no hint
dicho - söylemek - saying, no hint
visitar - ziyaret etmek - visit, no hint
Dom - Güneş - sun, no hint
inferior - daha düşük - lower, no hint
probablemente - muhtemelen - probably, no hint
extremadamente - son derece - extremely, no hint
esta - bu - ten, no hint
tercera - üçüncü - third, no hint
mundos - dünyalar - worlds, no hint
según - göre - according, no hint
zona - alan - area, no hint
respiración - nefes - breathing, no hint
específico - özel - specific, no hint
especial - özel - special, no hint
apareció - ortaya çıktı - appeared, no hint
ido - gitti - gone, no hint
hablar - konuşmak - talk, no hint
grupo - grup - group, no hint
pasado - geçti - passed, no hint
poco - bit - bit, no hint
alto - Dur - stop, no hint
niveles - seviyeleri - levels, no hint
significar - anlamına gelmek - mean, no hint
mayor - daha büyük - greater, no hint
sucede - olur - happens, no hint
permitir - izin vermek - allow, no hint
coche - araba - car, no hint
etc - vb - etc, no hint
causado - neden oldu - caused, no hint
mintiendo - yalan söylemek - lying, no hint
ventana - pencere - window, no hint
dirección - yön - direction, no hint
métodos - yöntemler - methods, no hint
ejercicios - egzersizler - exercises, no hint
Listo - hazır - ready, no hint
malo - kötü - bad, no hint
página - sayfa - page, no hint
finalmente - en sonunda - finally, no hint
alcanzado - ulaştı - reached, no hint
la carretera - yol - road, no hint
partes - parçalar - parts, no hint
curación - iyileştirme - healing, no hint
piso - zemin - floor, no hint
tocar - dokunma - touch, no hint
piernas - bacaklar - legs, no hint
meditación - meditasyon - meditation, no hint
parte superior - fagot - top, no hint
cuidadosamente - dikkatli - carefully, no hint
sentado - oturma - sitting, no hint
abajo - altında - below, no hint
brazos - silâh - arms, no hint
destacado - durdu - stood, no hint
velocidad - hız - speed, no hint
percepción - algı - perception, no hint
niño - çocuk - child, no hint
negro - siyah - black, no hint
descrito - tarif - described, no hint
trajo - getirdi - brought, no hint
familia - aile - family, no hint
caminado - yürüdü - walked, no hint
relajación - rahatlama - relaxation, no hint
rojo - kırmızı - red, no hint
adivinar - ilahi - divine, no hint
aprendido - öğrendi - learned, no hint
ordenar - çeşit - sort, no hint
dio - verdi - gave, no hint
figura - şekil - figure, no hint
psíquico - psişik - psychic, no hint
hacia - doğru - toward, no hint
oculto - gizli - occult, no hint
cable - kordon - cord, no hint
expediente - dosya - file, no hint
jefe - şef - guv, no hint
explorador - keşif - exploring, no hint
oportunidad - fırsat - opportunity, no hint
de otra manera - aksi takdirde - otherwise, no hint
cuyo - kimin - whose, no hint
ciclo - döngü - cycle, no hint
falso - yanlış - false, no hint
prueba - Ölçek - test, no hint
imposible - imkansız - impossible, no hint
escena - faliyet alani, sahne - scene, no hint
edificio - bina - building, no hint
Más adentro - Daha derine - deeper, no hint
científico - ilmi - scientific, no hint
último - nihai - ultimate, no hint
momentos - anlar - moments, no hint
Nosotros mismos - kendimizi - ourselves, no hint
diario - günlük - daily, no hint
viento - rüzgar - wind, no hint
siente - hissediyor - feels, no hint
cantidad - Miktar - amount, no hint
considerado - düşünülen - considered, no hint
historia - hikaye - story, no hint
explorar - keşfetmek - explore, no hint
aparentemente - görünüşe göre - apparently, no hint
veinte - yirmi - twenty, no hint
necesidades - ihtiyaçlar - needs, no hint
ciertamente - kesinlikle - certainly, no hint
areas - alanlar - areas, no hint
desarrollar - geliştirmek - develop, no hint
explique - açıklamak - explain, no hint
dice - diyor - says, no hint
ocurre - oluşur - occurs, no hint
evento - Etkinlik - event, no hint
preguntarse - merak etmek - wonder, no hint
tarea - görev - task, no hint
aspectos - yönler - aspects, no hint
condiciones - şartlar - terms, no hint
sutil - ince - subtle, no hint
diferencia - fark - difference, no hint
despertar - uyanmak - awaken, no hint
único - tek - single, no hint
Plomo - öncülük etmek - lead, no hint
influencia - etkilemek - influence, no hint
darse cuenta - farkına varmak - notice, no hint
capacitación - Eğitim - training, no hint
lograr - başarmak - achieve, no hint
conocimiento - bilmek - knowing, no hint
vívido - canlı - vivid, no hint
a no ser que - sürece - unless, no hint
absolutamente - kesinlikle - absolutely, no hint
raro - alışılmadık - unusual, no hint
enteramente - Baştan sona - entirely, no hint
cielo - gökyüzü - sky, no hint
poderoso - güçlü - powerful, no hint
lugares - yerler - places, no hint
Acercarse - yaklaşmak - approach, no hint
fluir - akış - flow, no hint
verdaderamente - gerçekten - truly, no hint
Actual - akım - current, no hint
fuego - ateş - fire, no hint
disponible - mevcut - available, no hint
fuente - kaynak - source, no hint
compartir - Paylaş - share, no hint
primario - birincil - primary, no hint
caminar - yürümek - walk, no hint
religión - din - religion, no hint
Ciencias - Bilim - science, no hint
vivió - yaşadı - lived, no hint
escribiendo - yazı - writing, no hint
objetivo - hedef - goal, no hint
ocurrió - oluştu - occurred, no hint
intención - niyet - intention, no hint
desarrollado - gelişmiş - developed, no hint
adelante - ileri - forward, no hint
espíritu - ruhlar - spirits, no hint
animales - hayvanlar - animals, no hint
antiguo - Antik - ancient, no hint
religioso - dini - religious, no hint
claramente - Açıkça - clearly, no hint
escrito - yazılı - written, no hint
hermosa - güzel - beautiful, no hint
continuado - devam etti - continued, no hint
conducta - tavır - manner, no hint
va - gider - goes, no hint
interesado - Ilgilenen - interested, no hint
quién - kime - whom, no hint
Copiar - kopya - copy, no hint
grabar - kayıt - record, no hint
muy - büyük ölçüde - highly, no hint
éxito - başarı - success, no hint
relacionado - ilişkili - related, no hint
establecido - dayalı - based, no hint
incrementar - artırmak - increase, no hint
experimentar - Deney - experiment, no hint
jugar - Oyna - play, no hint
llevar a cabo - icra etmek - perform, no hint
necesario - gerekli - needed, no hint
Siete - Yedi - seven, no hint
flotante - yüzer - floating, no hint
poner - yatmak - lay, no hint
profundamente - derinden - deeply, no hint
arboles - ağaçlar - trees, no hint
evidencia - kanıt - evidence, no hint
dejando - ayrılma - leaving, no hint
conscientemente - bilinçli olarak - consciously, no hint
cheque - Kontrol - check, no hint
sombra - gölge - shadow, no hint
asustado - korkmuş - afraid, no hint
pobre - yoksul - poor, no hint
creativo - yaratıcı - creative, no hint
positivo - pozitif - positive, no hint
sostuvo - Kavradı - held, no hint
Luna - ay - moon, no hint
fenómeno - fenomen - phenomenon, no hint
activo - aktif - active, no hint
sólido - katı - solid, no hint
con - ile - met, no hint
dinero - para - money, no hint
Prensa - basın - press, no hint
ingresó - girdi - entered, no hint
semana - hafta - week, no hint
hora - saat - hour, no hint
segundos - saniye - seconds, no hint
levemente - biraz - slightly, no hint
emocional - duygusal - emotional, no hint
repetir - tekrar et - repeat, no hint
línea - hat - line, no hint
Más fácil - Daha kolay - easier, no hint
creado - yaratıldı - created, no hint
ordinario - sıradan - ordinary, no hint
alcanzar - ulaşmak - reach, no hint
algun lado - bir yerde - somewhere, no hint
la licenciatura - derece - degree, no hint
hablando - konuşma - talking, no hint
causas - nedenleri - causes, no hint
nacido - doğmuş - born, no hint
normalmente - normalde - normally, no hint
oscuridad - karanlık - darkness, no hint
real - gerçek - actual, no hint
caminando - yürüme - walking, no hint
intentos - denemeler - attempts, no hint
hablar - konuşmak - speak, no hint
esperando - bekleme - waiting, no hint
negativo - olumsuz - negative, no hint
imágenes - görüntü - imagery, no hint
cayó - düştü - fell, no hint
colegio - okul - school, no hint
eficaz - etkili - effective, no hint
medio - orta - middle, no hint
pasar - geçmek - pass, no hint
objetivo - amaç - purpose, no hint
teoría - teori - theory, no hint
sufrimiento - çile - suffering, no hint
calle - sokak - street, no hint
sentar - oturmak - sit, no hint
condiciones - koşullar - conditions, no hint
árbol - ağaç - tree, no hint
abrió - açıldı - opened, no hint
problema - sorun - trouble, no hint
frío - soğuk - cold, no hint
Progreso - ilerleme - progress, no hint
Relájese - Rahatlayın - relax, no hint
pesado - ağır - heavy, no hint
estar - ayakta durmak - stand, no hint
doctor - doktor - doctor, no hint
país - ülke - country, no hint
forma - şekil - shape, no hint
proyector - projektör - projector, no hint
ego - benlik - ego, no hint
azul - mavi - blue, no hint
unos - olanlar - ones, no hint
cifras - rakamlar - figures, no hint
saliente - projeksiyon - projecting, no hint
comprar - satın almak - buy, no hint
redondo - yuvarlak - round, no hint
amigos - Arkadaşlar - friends, no hint
contacto - İletişim - contact, no hint
proyecciones - projeksiyonlar - projections, no hint
dimensión - boyut - dimension, no hint
reconocer - tanımak - recognize, no hint
intención - niyet - intent, no hint
dio cuenta - gerçekleştirilen - realized, no hint
detenido - durdu - stopped, no hint
respondido - cevap verdi - replied, no hint
relajado - rahat - relaxed, no hint
monje - keşiş - monk, no hint
conservó - muhafaza - kept, no hint
brazo - kol - arm, no hint
excepto - dışında - except, no hint
separación - ayrılık - separation, no hint
percibir - algılamak - perceive, no hint
plata - gümüş - silver, no hint
proyectores - projektörler - projectors, no hint
cuerda - İp - rope, no hint
centros - merkezleri - centers, no hint
tendrá - sahip olacak - aura, no hint
con - ile - con, no hint
obtener - elde etmek - obtain, no hint
apropiado - uygun - appropriate, no hint
derechos - Haklar - rights, no hint
reservado - ayrılmış - reserved, no hint
relación - ilişki - relation, no hint
cubrir - örtmek - cover, no hint
padres - ebeveynler - parents, no hint
breve - kısa - brief, no hint
pesadillas - kabuslar - nightmares, no hint
texto - Metin - text, no hint
reloj - izlemek - watch, no hint
tipos - türleri - types, no hint
psicología - Psikoloji - psychology, no hint
perspectiva - perspektif - perspective, no hint
intenso - yoğun - intense, no hint
emociones - duygular - emotions, no hint
Placer - Zevk - pleasure, no hint
sexual - cinsel - sexual, no hint
práctico - pratik - practical, no hint
reunión - toplantı - meeting, no hint
estrellas - yıldızlar - stars, no hint
desarrollando - gelişen - developing, no hint
comunicación - iletişim - communication, no hint
final - final - final, no hint
borde - kenar - edge, no hint
vasto - Muazzam - vast, no hint
serie - dizi - series, no hint
oportunidad - şans - chance, no hint
viva - canlı - alive, no hint
participación - tutma - holding, no hint
negocio - iş - business, no hint
usual - olağan - usual, no hint
claridad - açıklık - clarity, no hint
alrededores - çevre - surroundings, no hint
mentes - zihinler - minds, no hint
anterior - önceki - previous, no hint
habilidades - yetenekleri - abilities, no hint
muy - büyük ölçüde - greatly, no hint
gastar - harcamak - spend, no hint
descubrir - keşfetmek - discover, no hint
debajo - altında - beneath, no hint
ocho - sekiz - eight, no hint
total - Toplam - total, no hint
cien - yüz - hundred, no hint
cuenta - hesap - account, no hint
gastado - harcandı - spent, no hint
discutir - tartışmak - discuss, no hint
detalle - detay - detail, no hint
para - için - per, no hint
definitivamente - kesinlikle - definitely, no hint
habilidades - Beceriler - skills, no hint
agradable - hoş - pleasant, no hint
muestra - gösterir - shows, no hint
Arte - none. - art, no hint
detalles - detaylar - details, no hint
sexo - seks - sex, no hint
